run,n,spearman_rho,spearman_p,RMSE,MAE,NASA_Score,pred_mean,pred_sd,distinct_values,modal_value,modal_share_pct,entropy_bits,condition
"published k=5, n=5 (same prompt as asis)",100,0.0699104924278693,0.4894638802004031,61.78462591939843,52.38,41801.42565625815,27.95,8.88350531415762,3,23.0,76.0,1.033836638149155,published
asis_seed1,100,0.12302312591909985,0.22269152496239267,62.48895902477493,52.53,48689.89023037887,26.28,7.577318627044633,3,23.0,84.0,0.7943095546405661,asis
random_seed1,100,0.0846353767099373,0.402470838074208,43.67894229488621,37.67,10900.607880073292,63.84,18.21738541375055,11,53.0,26.0,2.8659320541281748,random
random_seed2,100,0.06130075041660105,0.5446006273288405,41.272387864042955,36.65,7123.469586022771,66.44,11.459476251539419,4,73.0,65.0,1.2044062179748651,random
random_seed3,100,0.2649088061594941,0.007732169730458694,38.68190791571688,33.41,5767.911502594744,67.2,16.3540375887591,11,80.0,43.0,2.14537480781443,random
strat_seed1,100,0.20617937020211585,0.039586317291375,50.59713430620355,44.07,14098.248781032811,43.74,3.6725022433312056,5,45.0,67.0,1.2826705874509075,strat
strat_seed2,100,0.2536180564214166,0.01089441076493163,44.367217627432986,35.21,22304.67847638213,55.1,22.58966421381534,8,80.0,32.0,2.410883030731569,strat
strat_seed3,100,0.14172656908935022,0.15955848953893992,60.71120160234024,49.23,50100.525218795934,31.6,21.948976644882006,4,23.0,85.0,0.7836810845689419,strat
