dataset,model,n,RMSE,MAE,NASA_Score,spearman_rho,spearman_p,distinct_values,modal_value,modal_share_pct,entropy_bits,pred_mean
FD002,llama3.1:8b zero-shot n=30,259,63.199964566726784,52.99227799227799,146693.83320169424,0.27208612261883547,8.924529966199456e-06,4,23.0,83.3976833976834,0.7197703561699372,26.173745173745175
FD002,constant = train mean,259,44.92892745312801,38.14154656047177,115589.85268979704,,,1,86.91335404304395,100.0,-0.0,86.91335404304394
FD002,RandomForest,259,17.626170809163924,13.391293436293436,1698.589046309744,0.8714921084106801,1.6958806752714688e-81,257,12.25,0.7722007722007722,8.00136427224254,71.32202702702702
FD002,XGBoost,259,17.344050550705358,12.797677609105827,1500.1645479490196,0.8800611803790074,4.2558032089120023e-85,259,0.0,0.3861003861003861,8.016808287686557,70.76250457763672
FD002,LSTM (repaired),259,16.945448504999145,10.994962592842956,3404.6659928220197,0.8906092227256657,6.29182223476292e-90,259,4.277609348297119,0.3861003861003861,8.016808287686557,71.60702514648438
FD004,llama3.1:8b zero-shot n=30,248,66.55763934244295,55.943548387096776,172812.6245147736,0.14608693553408222,0.02137374606205951,4,23.0,80.24193548387096,0.793824739956195,26.681451612903224
FD004,constant = train mean,248,45.56517147846795,38.05917022213398,164680.7066035387,,,1,92.98519159496482,100.0,-0.0,92.98519159496482
FD004,RandomForest,248,23.442838959646146,16.768770161290323,4237.570685364073,0.7771124711047889,2.207446727425828e-51,246,114.295,1.2096774193548387,7.935023376910407,76.7915120967742
FD004,XGBoost,248,24.785467736969732,16.612036053211458,8752.724232377223,0.7708701910019884,4.313855931281505e-50,240,125.0,3.629032258064516,7.839158709528078,75.93872833251953
FD004,LSTM (repaired),248,20.54651287624533,12.949498804346208,9285.56545665588,0.8391315283305204,5.305992198900024e-67,240,125.0,3.629032258064516,7.839158709528078,76.31729888916016
