config,k,n,engines,RMSE,MAE,NASA_Score,distinct_values,modal_value,modal_share_pct,entropy_bits,pred_mean,spearman_rho,spearman_p
k3_n5,3,5,100,51.5642317890997,44.93,13721.5493129658,1,42.0,100.0,-0.0,42.0,,
k3_n15,3,15,100,51.019310069815724,44.13,13614.24287738612,5,42.0,81.0,0.9279991233284794,43.04,-0.08220754389834618,0.41615071433173345
k3_n30,3,30,100,50.46781152378217,44.2,12207.439401940986,5,45.0,57.0,1.2378020163445451,43.93,-0.03175321095880163,0.7538103960540601
k5_n5,5,5,100,49.999499997499974,43.65,11555.655241610099,4,45.0,70.0,1.157841077976866,44.14,0.22573267579346581,0.023934612125863782
k5_n15,5,15,100,50.662017330540635,44.24,12409.337879728844,4,42.0,52.0,1.138789036555131,43.37,0.05701663833042501,0.5731239666876489
k5_n30,5,30,100,49.381879267601796,38.11,328258.5368862603,4,105.0,42.0,1.646851322220859,99.5,0.0481593151472768,0.6342064850147876
k10_n5,10,5,100,49.70281682158467,43.57,11065.020056771187,2,45.0,98.0,0.14144054254182067,44.96,0.2265953381587604,0.023387884375323922
k10_n15,10,15,100,41.962721551396065,38.03,5537.228484869004,1,62.0,100.0,-0.0,62.0,,
k10_n30,10,30,100,64.50713138870772,50.55,1502460.832350722,1,125.0,100.0,-0.0,125.0,,
