condition,seed,n,n_examples,example_engines,example_ruls,RMSE,MAE,NASA_Score,distinct_values,modal_value,modal_share_pct,entropy_bits,pred_mean,pred_sd,spearman_rho,spearman_p
strat,1,100,5,"[74, 71, 97, 22, 92]","[26, 17, 74, 72, 125]",50.59713430620355,44.07,14098.248781032811,5,45.0,67.0,1.2826705874509075,43.74,3.6725022433312056,0.20617937020211585,0.039586317291375
strat,2,100,5,"[71, 22, 91, 83, 14]","[36, 35, 54, 50, 125]",44.367217627432986,35.21,22304.67847638213,8,80.0,32.0,2.410883030731569,55.1,22.58966421381534,0.2536180564214166,0.01089441076493163
strat,3,100,5,"[13, 46, 82, 64, 64]","[0, 6, 56, 41, 94]",60.71120160234024,49.23,50100.525218795934,4,23.0,85.0,0.7836810845689419,31.6,21.948976644882006,0.14172656908935022,0.15955848953893992
random,1,100,5,"[91, 21, 10, 66, 13]","[53, 125, 68, 125, 125]",43.67894229488621,37.67,10900.607880073292,11,53.0,26.0,2.8659320541281748,63.84,18.21738541375055,0.0846353767099373,0.402470838074208
random,2,100,5,"[96, 49, 82, 24, 80]","[125, 125, 17, 121, 49]",41.272387864042955,36.65,7123.469586022771,4,73.0,65.0,1.2044062179748651,66.44,11.459476251539419,0.06130075041660105,0.5446006273288405
random,3,100,5,"[38, 56, 83, 89, 49]","[113, 107, 125, 125, 36]",38.68190791571688,33.41,5767.911502594744,11,80.0,43.0,2.14537480781443,67.2,16.3540375887591,0.2649088061594941,0.007732169730458694
