model,n,RMSE,MAE,NASA_Score,distinct_values,modal_value,modal_share_pct,entropy_bits,pred_sd,spearman_rho,spearman_p,spread
"llama3.1:8b Q4_K_M [5 runs, mean]",100,61.89577154387539,51.58,45453.68614875122,2.4,23.0,81.4,0.7142396394210604,7.432856387409473,0.201555128846744,0.0722363745866628,RMSE 61.5-62.8
llama3.1:8b-instruct-q8_0,14,59.951766326892205,57.92857142857143,2314.104826802396,2.0,42.0,85.71428571428571,0.5916727785823275,6.899593872424347,-0.25374313316937414,0.3813795644216163,parse_ok 100%
mistral:7b,100,46.88144622342617,40.39,10641.135066173803,4.0,60.0,50.0,1.2335407200795017,10.18763362061469,0.07271097042581481,0.472189891519593,parse_ok 100%
qwen2.5:7b,100,71.69497890368613,60.45,107311.6834282847,1.0,15.0,100.0,-0.0,0.0,,,parse_ok 100%
constant = train mean (no skill),100,41.94179565195834,34.83,33354.47175535112,1.0,86.82928602588338,100.0,-0.0,5.712978550373078e-14,,,baseline
RandomForest,100,17.957747791691475,13.27105,760.6436269318586,100.0,7.805,1.0,6.643856189774724,38.14502290564553,0.8127016250083586,1.0121369172740983e-24,baseline
XGBoost,100,15.948078483209017,11.709649758338928,477.11041064347927,100.0,5.37592077255249,1.0,6.643856189774724,38.47589185343863,0.8435572505527204,3.2957391536294057e-28,baseline
LSTM (as shipped),100,43.88958323249383,39.365151176452635,5882.209342871176,4.0,56.54949951171875,74.0,1.1235674490794936,2.0557078998757703e-06,,,baseline
LSTM (repaired),100,13.575091047685598,10.327971229553222,260.9075023881398,100.0,4.518305778503418,1.0,6.643856189774724,39.77370914537501,0.888933876985807,5.288397025629513e-35,baseline
