dataset,train_target_mean,train_target_variance,orig_final_train_loss,orig_final_val_loss,orig_epochs,orig_constant_emitted,mse_if_it_predicted_the_mean,mse_of_constant_emitted,fixed_epochs,fixed_final_val_loss_rul2
FD001,86.82928602588338,1747.2376071581098,2349.688232421875,2558.6484375,30.0,56.549499320983884,1747.2376071581098,2664.103090052318,36.0,185.00541045796126
FD003,93.14320388349515,1717.2853818783128,2306.85107421875,2182.951416015625,30.0,66.30047607421875,1717.2853818783128,2437.8174181212134,48.0,159.74942652974278
