dataset,mode,k,n_cycles,run,file,n_engines,RMSE,MAE,NASA_Score,spearman_rho,spearman_p,kendall_tau,kendall_p,distinct_values,modal_value,modal_share_pct,pred_mean,pred_sd,true_sd,sd_ratio_pred_over_true,RMSE_trainmean_const,beats_trainmean_RMSE
FD001,few_shot,3,5,run1,traces_FD001_few_shot_k3.json,100,62.50343990533641,52.38,49741.43680741307,0.05545641707852574,0.5836823417355845,0.045499450377239015,0.5765265701423145,3,23.0,82.0,26.63,7.811743296686941,40.27515839619236,0.1939593438675456,41.94179565195834,False
FD001,few_shot,3,15,run1,traces_FD001_few_shot_k3_n15.json,100,55.31220480147216,47.98,25295.808731334208,0.0276311892564081,0.7849377203569943,0.021984479776866052,0.7873170872075151,3,45.0,64.0,38.03,10.145860478465336,40.27515839619236,0.2519136083503158,41.94179565195834,False
FD001,few_shot,3,30,run1,traces_FD001_few_shot_k3_n30.json,100,50.5390937789747,40.7,133633.49117381466,-0.2107777272579729,0.035292416599196214,-0.16149079500653635,0.03303406484583191,11,95.0,39.0,91.69,17.30632803049191,40.27515839619236,0.4297022958978123,41.94179565195834,False
FD001,few_shot,5,5,run1,traces_FD001_few_shot_k5.json,100,61.78462591939843,52.38,41801.42565625815,0.0699104924278693,0.4894638802004031,0.05918760613721906,0.4641624315666606,3,23.0,76.0,27.95,8.88350531415762,40.27515839619236,0.22057033834030737,41.94179565195834,False
FD001,few_shot,5,15,run1,traces_FD001_few_shot_k5_n15.json,100,53.96285759668403,46.99,18572.450662751122,0.14078211570983595,0.1623865132726003,0.1060512390284462,0.18136244999771522,5,45.0,57.0,38.28,9.734952127735038,40.27515839619236,0.24171108234934682,41.94179565195834,False
FD001,few_shot,5,30,run1,traces_FD001_few_shot_k5_n30.json,100,46.92792345714862,37.59,119410.45231285544,0.026856626978098853,0.7908264581116303,0.01920028672642269,0.8000166055724989,8,95.0,40.0,91.9,15.138084956876684,40.27515839619236,0.3758665529744471,41.94179565195834,False
FD001,few_shot,10,5,run1,traces_FD001_few_shot_k10.json,100,60.31152460351172,50.68,43626.70994973276,0.26125149631100975,0.008653918126374765,0.20479529215956224,0.008329898689829368,7,23.0,53.0,27.95,11.272004294183038,40.27515839619236,0.2798748594182736,41.94179565195834,False
FD001,few_shot,10,15,run1,traces_FD001_few_shot_k10_n15.json,100,53.646714717678655,46.35,23306.78812784914,0.18423603472862815,0.06651483646660969,0.13353071285497173,0.08258938364883488,7,45.0,37.0,40.6,11.791111187258945,40.27515839619236,0.29276386876665106,41.94179565195834,False
FD001,few_shot,10,30,run1,traces_FD001_few_shot_k10_n30.json,100,45.59802627307458,36.32,79567.84344937217,0.051535041198168915,0.6106052074296151,0.04015081077009864,0.5942342671995254,8,95.0,34.0,92.87,11.576408437992862,40.27515839619236,0.28743297106653476,41.94179565195834,False
FD001,zero_shot,0,5,run1,traces_FD001_zero_shot_k0.json,100,60.89852214955631,51.07,41333.3251159249,0.054770926035742996,0.588349253342412,0.0454953454695643,0.5825518684834917,3,23.0,68.0,28.98,8.816857132616457,40.27515839619236,0.21891551724971015,41.94179565195834,False
FD001,zero_shot,0,15,run1,traces_FD001_zero_shot_k0_n15.json,100,61.91179209165246,52.01,45218.18500459703,0.2936431555628189,0.003025117630769833,0.24298184823444857,0.0034811270476337313,2,23.0,84.0,26.04,7.000606034371944,40.27515839619236,0.17381945380589206,41.94179565195834,False
