sensor,n,chi2,p,cramers_v,mi_bits,input_faithfulness_pct,base_rate_pct
s4,10,0.2777777777777776,0.8703247258333906,0.16666666666666663,0.019973094021974756,50.0,60.0
s7,270,2.771908026382197,0.25008510146342994,0.10132288005992411,0.007415872458922512,49.25925925925926,49.629629629629626
s9,879,1.9072322028798192,0.3853450541871171,0.04658084343198215,0.0015427738639265352,27.076222980659843,26.507394766780436
s11,947,2.725232582860497,0.2559901552158168,0.05364469702951135,0.0016834436957520423,62.09081309398099,62.19640971488912
s12,527,20.435718331200256,3.651238040898945e-05,0.19691991808575363,0.031809126213381694,47.24857685009488,41.935483870967744
s14,877,3.69088849290248,0.1579551342928641,0.06487325150195666,0.0028040761736530745,27.708095781071833,27.936145952109463
s15,306,,,0.0,0.0,56.86274509803921,56.86274509803921
