arm,n,RMSE,MAE,NASA_Score,distinct_values,modal_value,modal_share_pct,pred_mean,pred_sd
repl,100,61.57304605101164,50.94,44023.28098572123,3,23.0,80.0,26.81,7.659014626602109
nocue,100,59.13256294124245,49.62,32450.067845287875,4,23.0,69.0,28.71,8.789680588535902
invcue,100,62.32463397405556,52.24,44511.921266309604,5,23.0,84.0,25.87,6.9640563472792785
revdata,100,61.207270809929106,51.45,43687.64222260245,4,23.0,77.0,27.42,8.134202636107151
