label,RMSE,MAE,NASA_Score,dataset,model,k,n_cycles,temperature,suffix
Llama-ZeroShot | FD001,61.91179209165246,52.01,45218.18500459703,FD001,Llama-ZeroShot,0,15,0.1,n15
Llama-FewShot-k3 | FD001,55.31220480147216,47.98,25295.808731334208,FD001,Llama-FewShot-k3,3,15,0.1,n15
Llama-FewShot-k5 | FD001,53.96285759668403,46.99,18572.450662751122,FD001,Llama-FewShot-k5,5,15,0.1,n15
Llama-FewShot-k10 | FD001,53.646714717678655,46.35,23306.78812784914,FD001,Llama-FewShot-k10,10,15,0.1,n15
Llama-ZeroShot | FD003,60.42077457298938,50.55,47524.62266832881,FD003,Llama-ZeroShot,0,15,0.1,n15
Llama-FewShot-k3 | FD003,51.71092727847761,42.88,20279.43759023581,FD003,Llama-FewShot-k3,3,15,0.1,n15
Llama-FewShot-k5 | FD003,51.35552550602515,42.91,19888.03245754357,FD003,Llama-FewShot-k5,5,15,0.1,n15
Llama-FewShot-k10 | FD003,52.257726701417084,43.63,21286.79489840595,FD003,Llama-FewShot-k10,10,15,0.1,n15
