label,RMSE,MAE,NASA_Score,dataset,model,k,n_cycles,temperature,suffix
Llama-ZeroShot | FD001,62.83024749274826,52.58,48468.82547540144,FD001,Llama-ZeroShot,0,30,0.1,n30
Llama-FewShot-k3 | FD001,50.5390937789747,40.7,133633.49117381466,FD001,Llama-FewShot-k3,3,30,0.1,n30
Llama-FewShot-k5 | FD001,46.92792345714862,37.59,119410.45231285544,FD001,Llama-FewShot-k5,5,30,0.1,n30
Llama-FewShot-k10 | FD001,45.59802627307458,36.32,79567.84344937217,FD001,Llama-FewShot-k10,10,30,0.1,n30
Llama-ZeroShot | FD003,56.29822377304634,46.57,33469.1620922677,FD003,Llama-ZeroShot,0,30,0.1,n30
Llama-FewShot-k3 | FD003,46.38329440649942,38.93,108143.18333577002,FD003,Llama-FewShot-k3,3,30,0.1,n30
Llama-FewShot-k5 | FD003,45.71487722831595,38.45,55699.60784034293,FD003,Llama-FewShot-k5,5,30,0.1,n30
Llama-FewShot-k10 | FD003,47.58014291697746,40.51,71047.58621970193,FD003,Llama-FewShot-k10,10,30,0.1,n30
